bin_order,Folded Border-1_cropped10_intersections_LCPC-data_fft-output_AllBins.csv,Folded Border-2_cropped10_intersections_LCPC-data_fft-output_AllBins.csv,Folded Border-3_cropped10_intersections_LCPC-data_fft-output_AllBins.csv,Folded Border-4_cropped10_intersections_LCPC-data_fft-output_AllBins.csv
1,11030.0,9524.0,12510.0,22992.0
2,1463.068716969986,2148.0026647472423,536.6510093691562,6479.301839781666
3,2247.502374586632,654.152546198064,1450.2078349429817,7317.790332514453
4,1379.7910487011002,1491.6385949590417,1693.7260208957964,3629.42359258189
5,1259.6542423375472,1649.3191765065835,2212.8019318152,2498.024852298703
6,818.0667567638292,761.8608480725256,289.41437659602445,1678.327322051937
7,294.3903978963786,181.36240437599247,909.5871189633529,1106.1819109798078
8,407.0507901840784,341.3865692438038,1707.4978604156713,621.0279324800092
9,397.0495022848641,111.10859294753622,386.8379815699827,921.9135590300996
10,210.9183695090687,422.26181952003054,513.2896640545199,846.8547446911457
11,303.2253045099807,355.717557783273,351.9583285957839,109.13868448981565
12,345.9899278771047,134.33947340846836,500.3283933954162,556.3899063973064
13,182.8186785811048,208.4955384665089,822.0376287530694,532.6781520287578
14,313.6846271232926,194.4675136926703,647.4796277141111,214.62968448061451
15,386.07740029405943,206.62156555696663,323.0501924864228,623.9694854017703
16,174.4244566965098,220.1315120835203,101.25148018230988,783.3822461970225
17,104.27411942754098,109.34461819984196,313.9814178262281,476.80604023019674
18,198.20417220816375,187.13911225213872,690.2439484430488,262.76878993650166
19,109.70444719307812,314.9604732196118,561.6715904952166,669.914268599905
20,179.57675350194603,150.8236206947671,609.6911388289712,889.7755772778796
21,314.73772763679136,148.11345782932062,649.769724203984,744.6455114405384
22,255.46216410593124,223.89157692138335,170.4571971705843,805.5150117128253
23,128.25564836444073,87.4351524521773,675.9859401510198,976.9787470591268
24,124.830988266162,388.057431632174,468.1058616407701,863.8230947911717
25,81.89717115221274,404.3597011223732,432.48233301185775,552.1552224478685
26,72.23833200649369,107.59920193282532,358.7719701113043,120.11814512071746
27,164.25272957818038,184.2559433456724,565.8569021909693,139.5827212737161
28,177.44500006799456,128.38854553511777,434.848202181335,245.2734187520391
29,132.97603818279904,128.3885455351179,319.59158688201273,348.29425194902393
30,98.0,184.2559433456724,338.13965798921373,541.1510800460472
31,132.97603818279904,107.59920193282532,452.3361883745292,565.9091114809988
32,177.44500006799458,404.3597011223733,452.3361883745292,502.03060846833927
33,164.25272957818038,388.05743163217414,338.13965798921373,400.0
34,72.23833200649364,87.43515245217743,319.59158688201273,502.0306084683395
35,81.89717115221274,223.8915769213833,434.848202181335,565.9091114809988
36,124.83098826616197,148.11345782932062,565.8569021909693,541.1510800460468
37,128.25564836444073,150.82362069476707,358.7719701113043,348.29425194902393
38,255.46216410593124,314.96047321961174,432.48233301185775,245.27341875203933
39,314.73772763679136,187.13911225213872,468.1058616407701,139.5827212737158
40,179.576753501946,109.34461819984216,675.9859401510198,120.11814512071776
41,109.70444719307812,220.1315120835203,170.4571971705843,552.1552224478685
42,198.2041722081638,206.6215655569665,649.769724203984,863.8230947911716
43,104.27411942754098,194.4675136926703,609.6911388289712,976.978747059127
44,174.42445669650976,208.4955384665088,561.6715904952166,805.5150117128251
45,386.07740029405943,134.33947340846817,690.2439484430488,744.6455114405384
46,313.6846271232926,355.717557783273,313.9814178262281,889.7755772778797
47,182.8186785811048,422.26181952003066,101.25148018230988,669.9142685999051
48,345.98992787710466,111.10859294753617,323.0501924864228,262.76878993650234
49,303.2253045099807,341.3865692438037,647.4796277141111,476.80604023019674
50,210.91836950906855,181.3624043759928,822.0376287530694,783.3822461970218
51,397.0495022848641,761.8608480725256,500.3283933954162,623.9694854017705
52,407.0507901840784,1649.319176506584,351.9583285957839,214.62968448061497
53,294.3903978963786,1491.6385949590417,513.2896640545199,532.6781520287578
54,818.0667567638292,654.152546198064,386.8379815699827,556.3899063973068
55,1259.6542423375472,,1707.4978604156713,109.13868448981586
56,1379.7910487011002,,909.5871189633529,846.8547446911457
57,2247.502374586632,,289.41437659602445,921.9135590300996
58,,,2212.8019318152,621.027932480009
59,,,1693.7260208957964,1106.1819109798078
60,,,1450.2078349429817,1678.3273220519372
61,,,,2498.024852298703
62,,,,3629.42359258189
63,,,,7317.790332514453
