angle,summed_distances
0,97
5,96
10,94
15,92
20,92
25,93
30,95
35,537
40,384
45,259
50,251
55,239
60,227
65,189
70,140
75,122
80,114
85,111
90,109
95,108
100,108
105,110
110,112
115,115
120,120
125,126
130,132
135,140
140,150
145,155
150,160
155,163
160,167
165,167
170,173
175,179
180,186
185,195
190,207
195,218
200,225
205,231
210,232
215,231
220,227
225,222
230,217
235,214
240,214
245,211
250,205
255,202
260,198
265,195
270,189
275,177
280,170
285,164
290,157
295,149
300,144
305,140
310,137
315,132
320,130
325,124
330,117
335,112
340,106
345,103
350,100
355,98
