bin_order,Good Line Thickness_but Debris_cropped10_intersections_LCPC-data_fft-output_AllBins.csv,Good Line Thickness_cropped10_intersections_LCPC-data_fft-output_AllBins.csv
1,22992.0,24010.0
2,8379.822197373476,1716.3786924576204
3,5115.615931382456,3708.671146963048
4,3044.9499958906945,2379.9608068770835
5,2521.9043278587446,2299.2465899510826
6,2285.6050074879377,1800.463339897572
7,2153.9269784061003,1379.0848594865313
8,2097.4742940448978,1290.8175384048045
9,2044.8265416502404,994.7010047541748
10,1348.6091768419813,953.5118064352506
11,1423.7460291965417,901.7149283412498
12,821.2862418698583,925.368620226929
13,374.0160424366847,941.7536832951596
14,445.9546026802687,982.524729744888
15,1041.7073777959345,1021.4459065630734
16,1436.8316769634723,947.3007649803214
17,1158.0197914363573,953.0976699744522
18,1061.221857450733,882.8436404871726
19,1168.801095139802,818.273792810206
20,1065.4052361224165,778.5339846692017
21,658.9292701123552,740.0383007708477
22,428.13763046776467,713.9479666088655
23,558.1874080676215,668.0069511344259
24,609.4162583840794,685.6074636111354
25,517.5789794804268,666.5523235275682
26,653.1801031217535,655.995494564327
27,711.7310476791279,640.0524133063542
28,558.7604926420577,601.0318086329416
29,443.33145401215467,596.1916067763057
30,511.84761348866846,564.7518064537859
31,301.9512737088002,529.2909883372424
32,49.77527624845363,506.6280112274794
33,104.22368830746925,489.5658715947272
34,312.71140685469607,464.979697805984
35,124.21094646977022,487.2539308334637
36,123.6549582197898,479.1949644072736
37,32.000000000000114,465.9999999999998
38,123.65495821978988,479.1949644072735
39,124.21094646977024,487.2539308334635
40,312.71140685469595,464.9796978059837
41,104.22368830746927,489.5658715947272
42,49.77527624845299,506.62801122747953
43,301.95127370880016,529.2909883372424
44,511.8476134886687,564.7518064537857
45,443.3314540121549,596.1916067763058
46,558.7604926420574,601.0318086329415
47,711.7310476791281,640.0524133063539
48,653.1801031217533,655.9954945643268
49,517.5789794804268,666.5523235275682
50,609.4162583840792,685.6074636111352
51,558.1874080676213,668.0069511344266
52,428.13763046776506,713.9479666088656
53,658.9292701123552,740.038300770848
54,1065.4052361224165,778.5339846692016
55,1168.801095139802,818.2737928102061
56,1061.2218574507333,882.8436404871727
57,1158.0197914363573,953.0976699744522
58,1436.8316769634723,947.3007649803214
59,1041.7073777959342,1021.4459065630735
60,445.9546026802689,982.524729744888
61,374.0160424366847,941.7536832951598
62,821.2862418698583,925.368620226929
63,1423.7460291965417,901.7149283412496
64,1348.609176841981,953.5118064352506
65,2044.8265416502404,994.7010047541748
66,2097.4742940448978,1290.8175384048047
67,2153.9269784061003,1379.084859486531
68,2285.6050074879377,1800.4633398975714
69,2521.904327858744,2299.2465899510826
70,3044.9499958906936,2379.960806877083
71,5115.615931382456,3708.671146963048
